,Date,Open,High,Low,Close,Volume,Ticker
0,2016-05-02,45.848597900914044,46.53632686942776,45.64686295079949,46.40795135498047,33114500,MSFT
1,2016-05-03,46.16035214498745,46.224539879459705,45.481791597463236,45.646846771240234,26460200,MSFT
2,2016-05-04,45.70186971490398,45.90360460846159,45.353419489114295,45.72937774658203,24257600,MSFT
3,2016-05-05,45.729376105848004,46.123674202943825,45.601000631997145,45.79356384277344,25390700,MSFT
4,2016-05-06,45.77522564180805,46.20620346069336,45.53681453861859,46.20620346069336,24787300,MSFT
5,2016-05-09,46.297910761958434,46.3896065487931,45.848593011340476,45.91278076171875,17951600,MSFT
6,2016-05-10,46.151195700941976,46.8572609596422,46.02281670139005,46.783905029296875,22891000,MSFT
7,2016-05-11,46.884776059870994,47.48080571939675,46.76556872877771,46.81141662597656,24039100,MSFT
8,2016-05-12,46.94895252428341,47.50830583030738,46.692198065372885,47.233211517333984,24102800,MSFT
9,2016-05-13,47.16902365694656,47.59083330337885,46.80223707053217,46.83891677856445,22592300,MSFT
10,2016-05-16,46.58216615436062,47.645853289059694,46.536318264531396,47.526649475097656,20032000,MSFT
11,2016-05-17,47.75748901866822,47.76672132183057,46.501684442464,46.64019012451172,27803500,MSFT
12,2016-05-18,46.612486987343125,47.22192111131543,46.44627736058384,46.917205810546875,24907500,MSFT
13,2016-05-19,46.603253761571885,46.74175943283756,46.00305195211527,46.464744567871094,23842400,MSFT
14,2016-05-20,46.612494491107384,47.295801235832755,46.53862549089791,46.74176788330078,23905800,MSFT
15,2016-05-23,46.7233013061325,46.7971738312339,46.15080332634011,46.19697189331055,26118700,MSFT
16,2016-05-24,46.81564250862973,47.748260253081085,46.538627581139735,47.637454986572266,34757900,MSFT
17,2016-05-25,47.94216852802333,48.46850144941755,47.82213096154914,48.12684631347656,24040200,MSFT
18,2016-05-26,47.951403118535815,47.997571683100034,47.42507373314518,47.914466857910156,24335200,MSFT
19,2016-05-27,47.94216408611756,48.31151962280273,47.80365840168721,48.311519622802734,17721400,MSFT
20,2016-05-31,48.25611967314611,48.93942642211914,48.08991354103266,48.93942642211914,37653100,MSFT
21,2016-06-01,48.422323123394236,48.893251591756076,48.422323123394236,48.80091094970703,25324800,MSFT
22,2016-06-02,48.60701584229803,48.699356512761945,47.868308090768785,48.45927429199219,22840800,MSFT
23,2016-06-03,48.36692193712334,48.403854671260625,47.646679023699015,47.82212448120117,23368300,MSFT
24,2016-06-06,48.00681971702169,48.33923557987478,47.914479041976456,48.13609313964844,18243300,MSFT
25,2016-06-07,48.23766393260669,48.690120891273914,48.1083869934082,48.1083869934082,20866800,MSFT
26,2016-06-08,48.034506571142636,48.42232672932298,47.89599735897218,48.052974700927734,21149400,MSFT
27,2016-06-09,48.01604094274311,48.01604094274311,47.54511593721487,47.66515350341797,20305700,MSFT
28,2016-06-10,47.13881746405365,48.062202736698914,47.12958516119872,47.53587341308594,25833200,MSFT
29,2016-06-13,45.78144846836176,46.83410722962997,45.30128765187464,46.29854202270508,83217800,MSFT
30,2016-06-14,46.07693146352067,46.26160571993907,45.772212600046146,46.01229476928711,42577100,MSFT
31,2016-06-15,45.96611567595236,46.28006679541675,45.88301086425781,45.88301086425781,33757600,MSFT
32,2016-06-16,45.72604788755001,46.60326476916997,45.716812060489744,46.52939224243164,31188600,MSFT
33,2016-06-17,46.54786107261153,46.56632920457324,46.003063508266955,46.28931427001953,45710500,MSFT
34,2016-06-20,46.76024289439863,46.93568840027873,46.19697715487334,46.23391342163086,35607900,MSFT
35,2016-06-21,46.35395109970967,47.4897148002469,46.317014835683416,47.26810073852539,34097800,MSFT
36,2016-06-22,47.16653608517562,47.51742006174412,47.046494976119895,47.083431243896484,28816800,MSFT
37,2016-06-23,47.35120381377575,48.07144684580955,47.23116624380002,47.93293762207031,29028800,MSFT
38,2016-06-24,45.99382663915814,47.03724957317756,45.72604403594154,46.01229476928711,133503000,MSFT
39,2016-06-27,45.33821368922427,45.384385768983165,44.35942759319395,44.719547271728516,50216300,MSFT
